epoch,train_loss,val_loss,lr
1,0.9505613967776299,0.5178774148225784,0.0007
2,0.9301604131857554,0.5139800608158112,0.0007
3,0.8866060947378477,0.49848034977912903,0.0007
4,0.8155835270881653,0.4915982186794281,0.0007
5,0.8404949257771174,0.47060157358646393,0.0007
6,0.734821118414402,0.4775797426700592,0.0007
7,0.9218139623602232,0.47352364659309387,0.0007
8,0.7224317068854967,0.47079281508922577,0.0007
9,0.8254008914033572,0.4644952267408371,0.0007
10,0.6874375442663828,0.46067599952220917,0.0007
11,0.8214664881428083,0.4631987512111664,0.0007
12,0.6884043415387472,0.45403897762298584,0.0007
13,0.813319539030393,0.46579277515411377,0.0007
14,0.722460520764192,0.4442744851112366,0.0007
15,0.6639286751548449,0.45167241990566254,0.0007
16,0.8059827039639155,0.4435362219810486,0.0007
17,0.6828263203303019,0.44029945135116577,0.0007
18,0.9033715749780337,0.4566909521818161,0.0007
19,0.8431219384074211,0.47162318229675293,0.0007
20,0.7887058779597282,0.4493789076805115,0.0007
21,0.6723330989480019,0.450355663895607,0.0007
22,0.730918695529302,0.44119031727313995,0.0007
23,0.6447409192721049,0.44067148864269257,0.0007
24,0.8430373345812162,0.4402206838130951,0.0007
25,0.6767249579230944,0.4357931911945343,0.0007
26,0.6384262889623642,0.43211233615875244,0.0007
27,0.7845480690399805,0.4382092356681824,0.0007
28,0.6480144485831261,0.4340337663888931,0.0007
29,0.8635491530100504,0.43710291385650635,0.0007
30,0.8008533368508021,0.43272770941257477,0.0007
31,0.7369334151347479,0.4301570802927017,0.0007
32,0.6351503233114878,0.4237203299999237,0.0007
33,0.7567247127493223,0.4287611395120621,0.0007
34,0.6331914688150088,0.42253434658050537,0.0007
35,0.7231054132183393,0.42443710565567017,0.0007
36,0.6414453561107317,0.4242270886898041,0.0007
37,0.7189885353048643,0.4184270054101944,0.0007
38,0.6113644217451414,0.4221894294023514,0.0007
39,0.658817765613397,0.41442832350730896,0.0007
40,0.6044907122850418,0.424023374915123,0.0007
41,0.7967630277077357,0.4259066730737686,0.0007
42,0.6370593582590421,0.4216644763946533,0.0007
43,0.6023885657389959,0.4190509468317032,0.0007
44,0.6666097193956375,0.4147546887397766,0.0007
45,0.6070630773901939,0.41653338074684143,0.0007
46,0.812188928325971,0.42119601368904114,0.0007
47,0.7281104524930319,0.4140874594449997,0.0007
48,0.6132263566056887,0.414629265666008,0.0007
49,0.5809966574112574,0.4121411591768265,0.0007
50,0.6979839776953062,0.4087875336408615,0.0007
51,0.5932170823216438,0.4183133840560913,0.0007
52,0.8258290216326714,0.4147348552942276,0.0007
53,0.6696555887659391,0.4156559258699417,0.0007
54,0.6118709221482277,0.41314226388931274,0.0007
55,0.6745774125059446,0.41031020879745483,0.0007
56,0.5924618691205978,0.4093540757894516,0.0007
57,0.5822507267196974,0.4125978499650955,0.0007
58,0.5804324994484583,0.40830668807029724,0.0007
59,0.564344123005867,0.4168188124895096,0.0007
60,0.682504321138064,0.41024211049079895,0.0007
61,0.5981364324688911,0.4141283482313156,0.0007
62,0.7570184394717216,0.420931875705719,0.0007
63,0.6717050845424334,0.4158612787723541,0.0007
64,0.569166342417399,0.42226389050483704,0.0007
65,0.5619013508160909,0.41431982815265656,0.0007
66,0.5543166051308314,0.41564925014972687,0.00049
67,0.5626602520545324,0.41569550335407257,0.00049
68,0.5437265013655027,0.41641195118427277,0.00049
69,0.5491629963119825,0.4184066355228424,0.00049
70,0.5302705789605776,0.4126411974430084,0.00049
71,0.5391322001814842,0.410515159368515,0.00049
72,0.5318410595258077,0.4124637544155121,0.00049
73,0.5468228335181872,0.4141147583723068,0.00049
74,0.6295351063211759,0.4095308780670166,0.000343
75,0.5618375440438589,0.41167768836021423,0.000343
76,0.577804351846377,0.42009326815605164,0.000343
77,0.5500880827506384,0.4178152233362198,0.000343
78,0.5091925784945488,0.4181104749441147,0.000343
79,0.528575636446476,0.41662895679473877,0.000343
80,0.5290812427798907,0.41889163851737976,0.000343
81,0.522949089606603,0.415408656001091,0.000343
82,0.5181400130192438,0.4179329425096512,0.00024009999999999998
83,0.5247856030861536,0.419693261384964,0.00024009999999999998
84,0.5123801032702128,0.4191431850194931,0.00024009999999999998
85,0.5108068833748499,0.41716237366199493,0.00024009999999999998
86,0.5080481246113777,0.4168608486652374,0.00024009999999999998
87,0.5248170619209608,0.41570204496383667,0.00024009999999999998
88,0.49827678749958676,0.4166760593652725,0.00024009999999999998
